Player,team,position,selected_by_percent,starts_per_90,total_points,bonus,points_per_game,expected_goals_conceded,goals_conceded,clean_sheets_per_90,expected_goals,goals_scored,expected_goal_involvements_per_90,value_season,value_season,value_form,now_cost,clean_sheets,yellow_cards,%of_team_points,influence,creativity,threat,penalties_order,corners_and_indirect_freekicks_order,performance_xG_off
Jairo Riedewald,Crystal Palace,Midfielder,0.1,0.0,6,0,1.0,0.93,0,0.0,0.04,0,0.08,1.3,1.3,0.0,4.5,0,0,0.43227665706051877,0.007050359712230217,0.001425438596491228,0.002191780821917808,,,-0.04
Jeffrey Schlupp,Crystal Palace,Midfielder,0.2,1.07,89,2,2.6,37.03,38,0.32,2.97,3,0.15,17.8,17.8,0.0,5.0,9,7,6.412103746397695,0.2910791366906475,0.1412280701754386,0.17205479452054792,,,0.029999999999999805
Dele Alli,Everton,Midfielder,0.1,0.0,2,0,1.0,1.68,1,0.0,0.0,0,0.0,0.4,0.4,0.0,5.0,0,0,0.1586042823156225,0.0004316546762589928,0.001206140350877193,0.003287671232876712,,,0.0
Abdoulaye Doucouré,Everton,Midfielder,0.3,1.0,76,10,3.0,32.1,27,0.24,2.61,5,0.24,13.8,13.8,0.0,5.5,4,6,6.026962727993656,0.25928057553956835,0.1557565789473684,0.13972602739726026,,,2.39
James Garner,Everton,Midfielder,0.0,0.79,25,0,1.6,15.66,13,0.23,0.7,0,0.14,5.0,5.0,0.0,5.0,2,3,1.9825535289452814,0.07856115107913669,0.0637061403508772,0.03506849315068493,,4.0,-0.7
Demarai Gray,Everton,Midfielder,0.4,0.97,91,4,2.8,46.59,39,0.25,6.17,4,0.36,16.5,16.5,0.0,5.5,7,3,7.216494845360824,0.29553956834532374,0.3370065789473684,0.3873972602739726,,,-2.17
Idrissa Gueye,Everton,Midfielder,0.0,1.12,66,1,2.0,49.99,45,0.28,0.71,0,0.05,13.2,13.2,0.0,5.0,8,7,5.233941316415543,0.3070503597122302,0.10707236842105264,0.04657534246575342,,,-0.71
Alex Iwobi,Everton,Midfielder,0.8,1.01,126,9,3.3,66.42,56,0.24,2.56,2,0.18,22.9,22.9,0.0,5.5,9,2,9.992069785884219,0.49884892086330934,0.518640350877193,0.20438356164383562,,3.0,-0.56
Dwight McNeil,Everton,Midfielder,0.4,1.01,126,14,3.5,51.3,46,0.18,3.51,7,0.33,22.9,22.9,0.0,5.5,5,5,9.992069785884219,0.5171223021582734,0.4229166666666666,0.25424657534246575,,1.0,3.49
Amadou Onana,Everton,Midfielder,0.2,1.05,77,2,2.3,47.89,37,0.33,2.95,1,0.17,15.4,15.4,0.0,5.0,9,9,6.106264869151467,0.2576978417266187,0.17357456140350877,0.15726027397260273,,,-1.9500000000000002
Arnaut Danjuma Groeneveld,Everton,Midfielder,0.3,0.56,15,0,1.7,2.31,5,0.0,0.84,1,0.51,2.7,2.7,0.0,5.5,0,0,1.189532117367169,0.038273381294964035,0.013760964912280701,0.03890410958904109,,,0.16000000000000003
Andreas Hoelgebaum Pereira,Fulham,Midfielder,2.9,1.1,123,9,3.7,47.49,40,0.27,7.16,4,0.38,22.4,22.4,0.0,5.5,8,8,8.6074177746676,0.3169784172661871,0.5290570175438596,0.27123287671232876,2.0,1.0,-3.16
Tom Cairney,Fulham,Midfielder,0.0,0.56,53,2,1.6,19.69,13,0.09,1.44,2,0.27,10.6,10.6,0.0,5.0,1,2,3.7088873337998605,0.13697841726618706,0.12724780701754385,0.11890410958904109,,,0.56
Bobby De Cordova-Reid,Fulham,Midfielder,0.1,1.06,90,3,2.5,46.78,40,0.29,3.91,4,0.19,16.4,16.4,0.0,5.5,8,8,6.298110566829951,0.26273381294964027,0.17905701754385966,0.27835616438356164,,,0.08999999999999986
Tyrese Francois,Fulham,Midfielder,0.0,0.0,1,0,1.0,0.0,0,0.0,0.0,0,0.0,0.2,0.2,0.0,4.5,0,0,0.06997900629811056,0.0007194244604316547,0.0001644736842105263,0.0,,,0.0
Saša Lukić,Fulham,Midfielder,0.3,0.89,15,0,1.2,9.68,10,0.0,0.13,0,0.07,3.3,3.3,0.0,4.5,0,1,1.0496850944716585,0.02935251798561151,0.01200657894736842,0.010410958904109589,,,-0.13
João Palhinha Gonçalves,Fulham,Midfielder,0.4,1.01,83,5,2.4,56.38,43,0.26,2.93,3,0.09,16.6,16.6,0.0,5.0,9,14,5.808257522743177,0.41021582733812956,0.07828947368421053,0.1852054794520548,,,0.06999999999999984
Harrison Reed,Fulham,Midfielder,1.2,1.1,107,9,2.9,53.81,44,0.28,1.95,3,0.12,21.4,21.4,0.0,5.0,9,5,7.4877536738978305,0.3484892086330935,0.278125,0.14575342465753424,,,1.05
Harry Wilson,Fulham,Midfielder,0.2,1.08,68,2,2.3,21.44,15,0.17,2.03,2,0.26,12.4,12.4,0.0,5.5,2,1,4.758572428271519,0.15482014388489207,0.10093201754385964,0.09753424657534246,3.0,3.0,-0.029999999999999805
Willian Borges da Silva,Fulham,Midfielder,0.6,1.06,116,11,4.3,34.39,22,0.38,3.46,5,0.28,21.1,21.1,0.0,5.5,9,2,8.117564730580826,0.3279136690647482,0.3856359649122807,0.24602739726027395,,,1.54
Stefan Bajcetic,Liverpool,Midfielder,0.1,1.03,22,0,2.0,6.8,4,0.52,0.79,1,0.22,4.4,4.4,0.0,5.0,3,2,1.2304250559284116,0.06489208633093525,0.03382675438596491,0.0421917808219178,,,0.20999999999999996
Diogo Teixeira da Silva,Liverpool,Midfielder,3.3,0.96,80,9,3.6,17.76,19,0.4,6.38,7,0.65,10.0,10.0,0.0,8.0,5,2,4.47427293064877,0.27093525179856115,0.13300438596491226,0.21424657534246574,,,0.6200000000000001
Harvey Elliott,Liverpool,Midfielder,0.3,1.01,62,2,1.9,26.07,20,0.28,2.12,1,0.36,12.4,12.4,0.0,5.0,5,2,3.467561521252797,0.19352517985611511,0.22264254385964913,0.20712328767123286,,,-1.12
Fabio Henrique Tavares,Liverpool,Midfielder,0.1,1.05,70,0,1.9,39.21,34,0.37,0.7,0,0.08,14.0,14.0,0.0,5.0,11,11,3.9149888143176734,0.2879136690647482,0.17346491228070174,0.05972602739726027,3.0,,-0.7
Jordan Henderson,Liverpool,Midfielder,0.0,1.0,69,0,2.0,31.96,30,0.35,1.35,0,0.22,13.8,13.8,0.0,5.0,8,2,3.859060402684564,0.22676258992805756,0.2882675438596491,0.10136986301369862,,,-1.35
Curtis Jones,Liverpool,Midfielder,0.2,1.05,52,4,2.9,15.6,15,0.35,1.15,3,0.22,10.4,10.4,0.0,5.0,4,2,2.9082774049217,0.1962589928057554,0.13053728070175438,0.13150684931506848,,,1.85
Luis Díaz,Liverpool,Midfielder,6.0,1.0,62,7,3.6,11.99,11,0.36,2.48,4,0.35,8.3,8.3,0.0,7.5,4,2,3.467561521252797,0.17654676258992807,0.10997807017543859,0.22136986301369863,,,1.52
Alexis Mac Allister,Liverpool,Midfielder,13.5,0.97,140,18,4.0,40.48,45,0.31,12.05,10,0.51,23.3,23.3,0.0,6.0,10,8,7.829977628635347,0.5401438848920863,0.4092105263157894,0.39123287671232876,,,-2.0500000000000007
